,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
252,6216941a814536dcf715ea70,iconicapeclub3d,Iconic Ape Club 3D,"['pfps', 'virtual_worlds']",2022-02-23T20:07:54.038Z,True,,False,,2999.0,,,v4
78,6216941a814536dcf715ea70,iconicapeclub3d,Iconic Ape Club 3D,"['pfps', 'virtual_worlds']",2022-02-23T20:07:54.038Z,True,,False,,2999.0,,,v2
156,6216941a814536dcf715ea70,iconicapeclub3d,Iconic Ape Club 3D,"['pfps', 'virtual_worlds']",2022-02-23T20:07:54.038Z,True,,False,,2999.0,,,v3
47,6216941a814536dcf715ea70,iconicapeclub3d,Iconic Ape Club 3D,"['pfps', 'virtual_worlds']",2022-02-23T20:07:54.038Z,True,,False,,2999.0,,,v1
300,6238cea8b37f943c2d51f968,kamakura,Kamakura,['launchpad'],2022-03-21T19:14:48.188Z,True,False,False,,3333.0,2022-04-03T14:39:09.593Z,,v4
229,6238cea8b37f943c2d51f968,kamakura,Kamakura,['launchpad'],2022-03-21T19:14:48.188Z,True,False,False,,3333.0,2022-04-03T14:39:09.593Z,,v3
102,6238cea8b37f943c2d51f968,kamakura,Kamakura,['launchpad'],2022-03-21T19:14:48.188Z,True,False,False,,3333.0,2022-03-21T19:14:48.188Z,,v2
327,62510a7695f92c7e1d1cd0cd,komradz,Komradz,"['art', 'virtual_worlds']",2022-04-09T04:24:22.709Z,True,False,False,,3500.0,2022-04-18T16:26:03.680Z,False,v4
13,61c8af005f47f500114a74d9,lifinity_flares,Lifinity Flares,['pfps'],2021-12-26T18:05:51.159Z,True,False,,,,,,v1
235,61c8af005f47f500114a74d9,lifinity_flares,Lifinity Flares,['pfps'],2021-12-26T18:05:51.159Z,True,False,,,,,,v4
137,61c8af005f47f500114a74d9,lifinity_flares,Lifinity Flares,['pfps'],2021-12-26T18:05:51.159Z,True,False,,,,,,v3
57,61c8af005f47f500114a74d9,lifinity_flares,Lifinity Flares,['pfps'],2021-12-26T18:05:51.159Z,True,False,,,,,,v2
262,6171e5f9ed491e00102d1048,lotus_gang_nft,Lotus Gang NFT,['pfps'],2021-10-21T22:11:59.020Z,True,False,False,,,,,v4
166,6171e5f9ed491e00102d1048,lotus_gang_nft,Lotus Gang NFT,['pfps'],2021-10-21T22:11:59.020Z,True,False,False,,,,,v3
106,6171e5f9ed491e00102d1048,lotus_gang_nft,Lotus Gang NFT,['pfps'],2021-10-21T22:11:59.020Z,True,False,False,,,,,v2
