,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
15,61f3869944c79e001191cc39,best_buds,Best Buds,"['pfps', 'art', 'launchpad']",2022-01-28T06:00:56.940Z,True,False,False,,,2022-01-28T21:55:07.279Z,,v1
193,623ccf25efc0d2933f024aa2,blocksmith_labs,Blocksmith Labs,['launchpad'],2022-03-24T20:05:57.110Z,True,False,False,,4444.0,2022-04-03T14:31:07.390Z,,v3
321,623ccf25efc0d2933f024aa2,blocksmith_labs,Blocksmith Labs,['launchpad'],2022-03-24T20:05:57.110Z,True,False,False,,4444.0,2022-04-18T16:05:53.948Z,,v4
88,62191a6d0eb8fd001259d702,bohemia_,Bohemia,"['pfps', 'art']",2022-02-25T18:05:32.466Z,True,False,False,,,,,v2
201,62191a6d0eb8fd001259d702,bohemia_,Bohemia,"['pfps', 'art']",2022-02-25T18:05:32.466Z,True,False,False,,,2022-04-03T12:53:34.535Z,,v3
320,62191a6d0eb8fd001259d702,bohemia_,Bohemia,"['pfps', 'art']",2022-02-25T18:05:32.466Z,True,False,False,,,2022-04-18T15:29:41.425Z,,v4
0,62191a6d0eb8fd001259d702,bohemia_,Bohemia,"['pfps', 'art']",2022-02-25T18:05:32.466Z,True,False,False,,,,,v1
87,6238cad747a586b15201a8e2,bongheads,BongHeads,"['pfps', 'art']",2022-03-21T18:58:31.688Z,True,,False,,2420.0,,,v2
159,6238cad747a586b15201a8e2,bongheads,BongHeads,"['pfps', 'art']",2022-03-21T18:58:31.688Z,True,,False,,2420.0,,,v3
255,6238cad747a586b15201a8e2,bongheads,BongHeads,"['pfps', 'art']",2022-03-21T18:58:31.688Z,True,,False,,2420.0,,,v4
26,618329fe9972a20011f80d54,boryoku_dragonz,Boryoku Dragonz,['pfps'],2021-11-04T00:31:56.746Z,True,False,False,,,,False,v1
63,618329fe9972a20011f80d54,boryoku_dragonz,Boryoku Dragonz,['pfps'],2021-11-04T00:31:56.746Z,True,False,False,,,,False,v2
290,618329fe9972a20011f80d54,boryoku_dragonz,Boryoku Dragonz,['pfps'],2021-11-04T00:31:56.746Z,True,False,False,,,2022-04-03T13:41:54.240Z,False,v4
