,id,price,owner,collectionName,collectionTitle,title,propertyCategory,creators,properties,tokenDelegateValid,rarity,version,Trait_Background,Trait_Body,Trait_Clothes,Trait_Eyes,Trait_Head,Trait_Mouth
1445,9UHrUaaGQ5fWaVLfoTkdnf3er39V4QLoppDGE9s73cUD,0.28,EyG9Ggc5BG6K4hJxtDMMe15eh9RPwrHaDsKqLTVYeion,monkelabs_dao,MonkeLabs DAO,LabMonke #396,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/f1f8fd5665178326bc9066145c8ef5a1.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Green,Brown,None,NightVision,Battery,Thoughtful
1446,4YCnn2xwYcr9vjwoAxW5X3VyLnBLy9oMj283E8EydqxM,0.289476513,GypbXeeeKvdiDp73hxe81WX4VtYdxAMa7S7r9nCH7Eap,monkelabs_dao,MonkeLabs DAO,LabMonke #2983,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/809b2176235ec253751ffa0c7016c89d.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Yellow,Gorilla,Hazmat,LaserVisor,Math,Dot
1447,8YzGjSRkJnzfM2D9etMoc12qbnX3qCYPwZ1MHJTP9Ess,0.29,43fAadw5XW385R2sjMHWNEHhoK6USqx7SUBMheMSt86S,monkelabs_dao,MonkeLabs DAO,LabMonke #5825,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/333f4f0067000d4d78c0a7e463d8f1e4.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Green,Orangutan,Emperor,Goggles,None,Smile
1448,Hh8yJfjAfitdm26HY7yAvzBRgVWnGSSg1H3yUdraro7T,0.298,BdERozQSoVodjxR89RdDAUBR4xc2jjZtJFg5KG98sgG9,monkelabs_dao,MonkeLabs DAO,LabMonke #2961,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/053e31ccd66a82c7c1aabae2490d7aa6.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Yellow,Blue,None,Glasses,Microscope,Dot
1449,4s5NYSK8y2CJsNJwjyYZDJQiXfDSxmss1GcxUW3YaAoE,0.299,3YcuUBhYufpMjWJW9mJ2XucHFjf5SqZrzSF9gFFuDDqb,monkelabs_dao,MonkeLabs DAO,LabMonke #1860,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/28f39f3e3224bf8bdb9d233a3e86ad9a.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Green,Purple,LabCoatClosed,None,None,Smile
1450,4q7kPXWYeHowq5kH6AvhsdRQpLoyLeLWgXLwLuefX4sj,0.3,7oYzSbr1e1yhezzFboUXhpRuiCxhoPpX2yJGPxsiky1a,monkelabs_dao,MonkeLabs DAO,LabMonke #2314,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/06966439bf4e02be84bec37deda5229b.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Purple,Purple,TShirt,Goggles,Topaz,Dot
1451,H8QCQMcCb6VqyEhTSYx7tGdJWMGZfUaBQe3yGcrdTBM8,0.3,6ckaRMXJEapTvAd4jmAt9fbxTc2FvCvZgMV9MmjJwXEQ,monkelabs_dao,MonkeLabs DAO,LabMonke #1042,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/eb2a2b55777c687f61aca40f08c39958.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Purple,Brown,LabCoatClosed,Goggles,Microscope,Full
1452,EC7ApQQM23iC7RDxkFAknRrbPSn7vTjDeeVG7imSLPJJ,0.3,BzUxa9ge1eS4cgjMpYB8TSFNikrBCuBpkZdp6XLdFsAd,monkelabs_dao,MonkeLabs DAO,LabMonke #1861,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/dd7c0584f7a08749e60d5352ec1b4d32.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Red,Purple,Suit,Goggles,Math,Dot
1453,GEUqgwuF9gTiYZeTrcEV91m6eTFjWfhtz3h42m74suob,0.3,6uSLoyY4HnLQqJXy2Uo3t3s6E9bk5VYE2i8YPjxtqmin,monkelabs_dao,MonkeLabs DAO,LabMonke #1539,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/e371f116060e12f3875f142d2abc44fb.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Blue,Blue,TShirt,None,Einstein,Open
1454,d2kRTM1tzF127oy5HTRbHrvuJTxzv6pYzfVd5CBqz36,0.3,FMQDxTJumjWTW7NCbSni4i9AqKTuNHcUNz29pUvsyrcq,monkelabs_dao,MonkeLabs DAO,LabMonke #133,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/7b7b91456ac71df77838850310380cd9.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Yellow,Gorilla,TShirt,None,SolarPanels,Dot
